input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,num,smape,name
18,12,mae,50,tanh,bi,21,13.147206532428823,18_12_50_tanh
18,12,mae,50,tanh,bi,22,13.446277560358729,18_12_50_tanh
18,12,mae,50,tanh,bi,23,13.283733529613619,18_12_50_tanh
18,12,mae,50,tanh,bi,24,13.445175782253369,18_12_50_tanh
18,12,mae,50,tanh,bi,25,13.321451762485895,18_12_50_tanh
18,12,mae,50,tanh,bi,26,13.252641408251984,18_12_50_tanh
18,12,mae,50,tanh,bi,27,13.238553769972585,18_12_50_tanh
18,12,mae,50,tanh,bi,28,13.582375453129256,18_12_50_tanh
18,12,mae,50,tanh,bi,29,13.874322500421561,18_12_50_tanh
18,12,mae,50,tanh,bi,,13.194317953590298,18_12_50_tanh
18,20,mae,25,leaky,bi,0,13.224075665032203,18_20_25_leaky
18,20,mae,25,leaky,bi,1,13.300008513453404,18_20_25_leaky
18,20,mae,25,leaky,bi,2,13.534648610266569,18_20_25_leaky
18,20,mae,25,leaky,bi,3,13.183703554636827,18_20_25_leaky
18,20,mae,25,leaky,bi,4,13.357551752534816,18_20_25_leaky
18,20,mae,25,leaky,bi,5,13.824667127911116,18_20_25_leaky
18,20,mae,25,leaky,bi,6,13.161355925280064,18_20_25_leaky
18,20,mae,25,leaky,bi,7,13.26869118233111,18_20_25_leaky
18,20,mae,25,leaky,bi,8,13.469112492214807,18_20_25_leaky
18,20,mae,25,leaky,bi,9,13.151222877093796,18_20_25_leaky
18,20,mae,25,leaky,bi,10,13.234386107593192,18_20_25_leaky
18,20,mae,25,leaky,bi,11,13.55033659241112,18_20_25_leaky
18,20,mae,25,leaky,bi,12,13.371385846324904,18_20_25_leaky
18,20,mae,25,leaky,bi,13,13.221600647140084,18_20_25_leaky
18,20,mae,25,leaky,bi,14,13.551967674056067,18_20_25_leaky
18,20,mae,25,leaky,bi,15,13.502340870349592,18_20_25_leaky
18,20,mae,25,leaky,bi,16,13.12476356762587,18_20_25_leaky
18,20,mae,25,leaky,bi,17,13.473848140252294,18_20_25_leaky
18,20,mae,25,leaky,bi,18,13.367847157420604,18_20_25_leaky
18,20,mae,25,leaky,bi,19,13.233561058326043,18_20_25_leaky
18,20,mae,25,leaky,bi,20,13.372075774081441,18_20_25_leaky
18,20,mae,25,leaky,bi,21,13.296943674745387,18_20_25_leaky
18,20,mae,25,leaky,bi,22,13.137748478979054,18_20_25_leaky
18,20,mae,25,leaky,bi,23,13.228588822054732,18_20_25_leaky
18,20,mae,25,leaky,bi,24,13.379098085430106,18_20_25_leaky
18,20,mae,25,leaky,bi,25,13.163387702282577,18_20_25_leaky
18,20,mae,25,leaky,bi,26,13.315537876484164,18_20_25_leaky
18,20,mae,25,leaky,bi,27,13.501974044667852,18_20_25_leaky
18,20,mae,25,leaky,bi,28,13.064335252516205,18_20_25_leaky
18,20,mae,25,leaky,bi,29,13.287724325306977,18_20_25_leaky
18,20,mae,25,leaky,bi,,13.164602295715897,18_20_25_leaky
18,14,mae,200,relu,bi,0,13.385204909280153,18_14_200_relu
18,14,mae,200,relu,bi,1,13.148536178370128,18_14_200_relu
18,14,mae,200,relu,bi,2,13.331064902475836,18_14_200_relu
18,14,mae,200,relu,bi,3,13.183959215252354,18_14_200_relu
18,14,mae,200,relu,bi,4,13.348886275323277,18_14_200_relu
18,14,mae,200,relu,bi,5,13.121486991957624,18_14_200_relu
18,14,mae,200,relu,bi,6,13.155546758821867,18_14_200_relu
18,14,mae,200,relu,bi,7,13.142061376165861,18_14_200_relu
18,14,mae,200,relu,bi,8,13.195802938517588,18_14_200_relu
18,14,mae,200,relu,bi,9,13.052679514189103,18_14_200_relu
18,14,mae,200,relu,bi,10,13.546431877090294,18_14_200_relu
18,14,mae,200,relu,bi,11,13.023481947554526,18_14_200_relu
18,14,mae,200,relu,bi,12,13.340624859647992,18_14_200_relu
18,14,mae,200,relu,bi,13,13.365382710975084,18_14_200_relu
18,14,mae,200,relu,bi,14,13.11105899500786,18_14_200_relu
18,14,mae,200,relu,bi,15,13.211532275692432,18_14_200_relu
18,14,mae,200,relu,bi,16,13.121948989723707,18_14_200_relu
18,14,mae,200,relu,bi,17,13.076235337685125,18_14_200_relu
18,14,mae,200,relu,bi,18,13.567212979287062,18_14_200_relu
18,14,mae,200,relu,bi,19,13.278800372618669,18_14_200_relu
18,14,mae,200,relu,bi,20,13.245538295502259,18_14_200_relu
18,14,mae,200,relu,bi,21,13.122018295679766,18_14_200_relu
